0,obs_id,Introduction,Campus Afflication,Gender,Gender (Other),Race/Ethnicity,Race/Ethnicity (Other),Employment,Zipcode,Modes,BayPass Access,choice,tt_walk,wt_walk,cost_walk,tt_bike,wt_bike,cost_bike,tt_bus,wt_bus,cost_bus,tt_rail,wt_rail,cost_rail,tt_drive,wt_drive,cost_drive,tt_rideshare,wt_rideshare,cost_rideshare,BayPass,Unnamed: 0_x,Percent_Developed_x,Percent_TOD_x,student_dummy,employed_dummy,Unnamed: 0_y,Percent_Developed_y,Percent_TOD_y
10,2,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Native American or Indigenous,Hispanic or Latinx",Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,3,30,0,0,20,0,0,25,5,0,40,5,0,25,10,8,10,5,4,1,167,100,99.99999964,1,1,167,100,99.99999964
11,2,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Native American or Indigenous,Hispanic or Latinx",Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,2,45,0,0,10,0,0,15,10,0,35,10,0,10,10,10,10,5,10,1,167,100,99.99999964,1,1,167,100,99.99999964
12,3,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Asian",Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94704,"AC Transit,BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,1,20,0,0,15,0,0,10,10,3,45,5,1,30,15,3,15,20,2,0,168,93.18486751,98.48687783,1,"Yes, employed off campus,Yes, employed on campus as a student",168,93.18486751,98.48687783
13,3,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Asian",Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94704,"AC Transit,BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,1,5,0,0,25,0,0,10,15,6,10,0,2,20,10,2,20,15,1,0,168,93.18486751,98.48687783,1,"Yes, employed off campus,Yes, employed on campus as a student",168,93.18486751,98.48687783
14,3,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Asian",Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94704,"AC Transit,BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,1,30,0,0,15,0,0,35,5,6,45,0,7,30,5,6,5,10,5,0,168,93.18486751,98.48687783,1,"Yes, employed off campus,Yes, employed on campus as a student",168,93.18486751,98.48687783
15,3,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Asian",Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94704,"AC Transit,BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,2,20,0,0,5,0,0,25,10,0,45,10,0,15,10,1,15,10,6,1,168,93.18486751,98.48687783,1,"Yes, employed off campus,Yes, employed on campus as a student",168,93.18486751,98.48687783
16,3,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Asian",Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94704,"AC Transit,BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,3,40,0,0,40,0,0,35,0,0,35,5,0,45,0,4,25,15,8,1,168,93.18486751,98.48687783,1,"Yes, employed off campus,Yes, employed on campus as a student",168,93.18486751,98.48687783
17,3,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Asian",Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94704,"AC Transit,BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,4,20,0,0,15,0,0,20,15,0,15,0,0,20,5,8,30,20,8,1,168,93.18486751,98.48687783,1,"Yes, employed off campus,Yes, employed on campus as a student",168,93.18486751,98.48687783
18,4,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94703,"AC Transit,BART,Walk,Personal bike,Drive alone",No,1,15,0,0,30,0,0,35,0,10,20,5,9,10,15,1,10,20,2,0,167,100,99.99999964,1,1,167,100,99.99999964
19,4,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94703,"AC Transit,BART,Walk,Personal bike,Drive alone",No,2,30,0,0,5,0,0,30,10,0,20,5,0,5,20,5,10,15,4,1,167,100,99.99999964,1,1,167,100,99.99999964
20,4,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94703,"AC Transit,BART,Walk,Personal bike,Drive alone",No,2,40,0,0,10,0,0,10,10,0,25,10,0,20,15,1,35,15,8,1,167,100,99.99999964,1,1,167,100,99.99999964
21,4,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94703,"AC Transit,BART,Walk,Personal bike,Drive alone",No,3,45,0,0,35,0,0,5,5,2,5,20,7,25,5,7,30,15,7,0,167,100,99.99999964,1,1,167,100,99.99999964
22,4,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94703,"AC Transit,BART,Walk,Personal bike,Drive alone",No,2,20,0,0,10,0,0,40,5,6,25,5,6,30,0,4,15,0,2,0,167,100,99.99999964,1,1,167,100,99.99999964
23,4,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94703,"AC Transit,BART,Walk,Personal bike,Drive alone",No,2,25,0,0,5,0,0,35,0,0,25,10,0,15,10,10,10,5,9,1,167,100,99.99999964,1,1,167,100,99.99999964
24,5,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,No,0,"AC Transit,BART,Walk,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,4,25,0,0,25,0,0,20,15,0,20,15,0,40,10,7,15,15,7,1,Did Not Response,Did Not Response,Did Not Response,0,0,0,0,0
25,5,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,No,0,"AC Transit,BART,Walk,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,1,35,0,0,40,0,0,10,5,5,20,5,4,35,5,8,25,10,8,0,Did Not Response,Did Not Response,Did Not Response,0,0,0,0,0
26,5,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,No,0,"AC Transit,BART,Walk,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,3,30,0,0,45,0,0,15,5,0,20,15,0,40,0,7,20,15,5,1,Did Not Response,Did Not Response,Did Not Response,0,0,0,0,0
27,5,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,No,0,"AC Transit,BART,Walk,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,5,25,0,0,30,0,0,20,20,5,35,15,5,10,15,6,25,0,3,0,Did Not Response,Did Not Response,Did Not Response,0,0,0,0,0
28,5,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,No,0,"AC Transit,BART,Walk,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,3,10,0,0,10,0,0,5,20,0,40,5,0,5,15,4,10,0,2,1,Did Not Response,Did Not Response,Did Not Response,0,0,0,0,0
29,5,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,No,0,"AC Transit,BART,Walk,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,1,5,0,0,5,0,0,5,10,5,35,5,4,20,5,4,35,10,1,0,Did Not Response,Did Not Response,Did Not Response,0,0,0,0,0
30,8,"Yes, I consent",Alumnus,Male,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Personal bike",No,1,10,0,0,25,0,0,45,5,4,15,15,7,25,5,2,30,5,2,0,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
31,8,"Yes, I consent",Alumnus,Male,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Personal bike",No,2,40,0,0,35,0,0,35,15,0,35,15,0,15,15,4,5,15,9,1,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
32,8,"Yes, I consent",Alumnus,Male,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Personal bike",No,1,5,0,0,10,0,0,30,5,0,35,15,0,30,20,4,20,5,6,1,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
33,8,"Yes, I consent",Alumnus,Male,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Personal bike",No,2,15,0,0,10,0,0,15,20,7,40,5,2,35,10,1,35,10,6,0,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
34,8,"Yes, I consent",Alumnus,Male,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Personal bike",No,1,20,0,0,35,0,0,45,5,0,25,20,0,15,20,1,10,20,5,1,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
35,8,"Yes, I consent",Alumnus,Male,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Personal bike",No,1,10,0,0,15,0,0,15,5,10,25,15,2,25,15,4,45,0,8,0,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
36,9,"Yes, I consent",I am not affiliated with UC Berkeley,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94132,"BART,Walk,Drive alone",No,1,10,0,0,25,0,0,45,10,3,15,5,3,45,5,3,30,20,1,0,50,76.30006932,93.77581209,0,1,50,76.30006932,93.77581209
37,9,"Yes, I consent",I am not affiliated with UC Berkeley,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94132,"BART,Walk,Drive alone",No,1,10,0,0,40,0,0,25,0,5,40,5,3,10,5,10,25,0,4,0,50,76.30006932,93.77581209,0,1,50,76.30006932,93.77581209
38,9,"Yes, I consent",I am not affiliated with UC Berkeley,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94132,"BART,Walk,Drive alone",No,3,25,0,0,15,0,0,10,0,2,30,0,2,20,0,9,5,20,7,0,50,76.30006932,93.77581209,0,1,50,76.30006932,93.77581209
39,9,"Yes, I consent",I am not affiliated with UC Berkeley,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94132,"BART,Walk,Drive alone",No,1,10,0,0,5,0,0,20,0,0,10,5,0,5,15,9,25,20,1,1,50,76.30006932,93.77581209,0,1,50,76.30006932,93.77581209
40,9,"Yes, I consent",I am not affiliated with UC Berkeley,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94132,"BART,Walk,Drive alone",No,2,15,0,0,5,0,0,20,0,0,10,20,0,20,15,6,20,10,3,1,50,76.30006932,93.77581209,0,1,50,76.30006932,93.77581209
41,9,"Yes, I consent",I am not affiliated with UC Berkeley,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94132,"BART,Walk,Drive alone",No,3,25,0,0,30,0,0,10,15,0,35,15,0,30,5,9,25,5,3,1,50,76.30006932,93.77581209,0,1,50,76.30006932,93.77581209
42,10,"Yes, I consent",Undergraduate student,Non-binary,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",94709,"Bear Transit,AC Transit,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,4,5,0,0,15,0,0,45,0,0,5,20,0,15,0,4,10,5,1,1,173,99.01229082,99.9999985,1,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",173,99.01229082,99.9999985
43,10,"Yes, I consent",Undergraduate student,Non-binary,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",94709,"Bear Transit,AC Transit,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,4,15,0,0,5,0,0,5,5,7,35,10,1,15,5,7,5,5,3,0,173,99.01229082,99.9999985,1,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",173,99.01229082,99.9999985
44,10,"Yes, I consent",Undergraduate student,Non-binary,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",94709,"Bear Transit,AC Transit,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,4,20,0,0,25,0,0,30,5,0,15,15,0,30,20,8,10,10,10,1,173,99.01229082,99.9999985,1,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",173,99.01229082,99.9999985
45,10,"Yes, I consent",Undergraduate student,Non-binary,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",94709,"Bear Transit,AC Transit,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,4,40,0,0,20,0,0,20,15,4,35,10,7,5,15,5,30,5,6,0,173,99.01229082,99.9999985,1,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",173,99.01229082,99.9999985
46,10,"Yes, I consent",Undergraduate student,Non-binary,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",94709,"Bear Transit,AC Transit,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,1,10,0,0,30,0,0,35,0,0,20,20,0,10,10,10,25,15,4,1,173,99.01229082,99.9999985,1,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",173,99.01229082,99.9999985
47,10,"Yes, I consent",Undergraduate student,Non-binary,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",94709,"Bear Transit,AC Transit,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,4,25,0,0,15,0,0,40,10,3,30,10,5,40,10,1,20,10,10,0,173,99.01229082,99.9999985,1,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",173,99.01229082,99.9999985
48,11,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"BART,Walk,Drive alone",No,1,15,0,0,5,0,0,5,10,0,30,10,0,40,10,3,25,10,7,1,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
49,11,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"BART,Walk,Drive alone",No,4,35,0,0,10,0,0,35,0,0,25,0,0,45,5,5,15,15,5,1,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
50,11,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"BART,Walk,Drive alone",No,3,20,0,0,45,0,0,15,0,3,10,20,6,5,20,7,35,5,2,0,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
51,11,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"BART,Walk,Drive alone",No,4,30,0,0,5,0,0,30,5,3,20,20,6,20,10,10,30,10,8,0,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
52,11,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"BART,Walk,Drive alone",No,4,45,0,0,5,0,0,10,15,0,10,10,0,30,15,7,25,15,3,1,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
53,11,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",0,"BART,Walk,Drive alone",No,1,5,0,0,45,0,0,30,0,5,35,15,6,5,10,7,5,5,10,0,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
54,12,"Yes, I consent",Graduate student,Female,Did Not Response,Black or African American,Did Not Response,"Yes, employed off campus",94521,Drive alone,Not sure,5,35,0,0,35,0,0,10,10,1,10,20,4,5,5,6,20,20,4,0,72,42.13010182,25.80839951,1,1,72,42.13010182,25.80839951
55,12,"Yes, I consent",Graduate student,Female,Did Not Response,Black or African American,Did Not Response,"Yes, employed off campus",94521,Drive alone,Not sure,1,20,0,0,30,0,0,45,5,0,45,5,0,35,5,10,35,5,3,1,72,42.13010182,25.80839951,1,1,72,42.13010182,25.80839951
56,12,"Yes, I consent",Graduate student,Female,Did Not Response,Black or African American,Did Not Response,"Yes, employed off campus",94521,Drive alone,Not sure,3,35,0,0,45,0,0,10,10,0,40,10,0,5,10,5,40,5,6,1,72,42.13010182,25.80839951,1,1,72,42.13010182,25.80839951
57,12,"Yes, I consent",Graduate student,Female,Did Not Response,Black or African American,Did Not Response,"Yes, employed off campus",94521,Drive alone,Not sure,2,40,0,0,5,0,0,10,0,10,15,20,1,25,20,5,20,10,10,0,72,42.13010182,25.80839951,1,1,72,42.13010182,25.80839951
58,12,"Yes, I consent",Graduate student,Female,Did Not Response,Black or African American,Did Not Response,"Yes, employed off campus",94521,Drive alone,Not sure,4,35,0,0,20,0,0,35,10,0,10,0,0,35,0,3,25,5,5,1,72,42.13010182,25.80839951,1,1,72,42.13010182,25.80839951
59,12,"Yes, I consent",Graduate student,Female,Did Not Response,Black or African American,Did Not Response,"Yes, employed off campus",94521,Drive alone,Not sure,1,25,0,0,15,0,0,25,20,2,25,15,9,40,5,6,15,0,8,0,72,42.13010182,25.80839951,1,1,72,42.13010182,25.80839951
60,13,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94062,"Drive alone,Rideshare (ex: Uber, Lyft),Other (type below)",No,3,25,0,0,15,0,0,5,5,4,30,10,2,15,20,6,25,10,9,0,16,17.57407261,1.380268582,0,1,16,17.57407261,1.380268582
61,13,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94062,"Drive alone,Rideshare (ex: Uber, Lyft),Other (type below)",No,2,20,0,0,5,0,0,20,10,0,15,20,0,40,5,2,20,20,6,1,16,17.57407261,1.380268582,0,1,16,17.57407261,1.380268582
62,13,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94062,"Drive alone,Rideshare (ex: Uber, Lyft),Other (type below)",No,3,35,0,0,30,0,0,10,10,0,40,5,0,25,0,8,30,20,8,1,16,17.57407261,1.380268582,0,1,16,17.57407261,1.380268582
63,13,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94062,"Drive alone,Rideshare (ex: Uber, Lyft),Other (type below)",No,2,35,0,0,5,0,0,10,0,5,25,15,8,10,15,1,20,10,3,0,16,17.57407261,1.380268582,0,1,16,17.57407261,1.380268582
64,13,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94062,"Drive alone,Rideshare (ex: Uber, Lyft),Other (type below)",No,3,20,0,0,40,0,0,10,0,3,10,0,8,20,15,6,15,15,1,0,16,17.57407261,1.380268582,0,1,16,17.57407261,1.380268582
65,13,"Yes, I consent",Alumnus,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94062,"Drive alone,Rideshare (ex: Uber, Lyft),Other (type below)",No,6,25,0,0,10,0,0,25,10,0,40,0,0,25,5,5,5,15,4,1,16,17.57407261,1.380268582,0,1,16,17.57407261,1.380268582
66,14,"Yes, I consent",Graduate student,Non-binary,Did Not Response,Hispanic or Latinx,Did Not Response,No,94608,"AC Transit,Drive alone,Carpool",No,1,25,0,0,20,0,0,40,0,8,40,0,4,10,15,9,10,10,8,0,157,99.64660947,99.16200905,1,0,157,99.64660947,99.16200905
67,14,"Yes, I consent",Graduate student,Non-binary,Did Not Response,Hispanic or Latinx,Did Not Response,No,94608,"AC Transit,Drive alone,Carpool",No,1,5,0,0,35,0,0,40,10,6,40,0,3,25,0,5,10,5,3,0,157,99.64660947,99.16200905,1,0,157,99.64660947,99.16200905
68,14,"Yes, I consent",Graduate student,Non-binary,Did Not Response,Hispanic or Latinx,Did Not Response,No,94608,"AC Transit,Drive alone,Carpool",No,1,5,0,0,40,0,0,15,5,8,25,10,3,25,20,3,25,10,7,0,157,99.64660947,99.16200905,1,0,157,99.64660947,99.16200905
69,14,"Yes, I consent",Graduate student,Non-binary,Did Not Response,Hispanic or Latinx,Did Not Response,No,94608,"AC Transit,Drive alone,Carpool",No,1,30,0,0,25,0,0,30,5,0,30,10,0,20,0,9,10,10,3,1,157,99.64660947,99.16200905,1,0,157,99.64660947,99.16200905
70,14,"Yes, I consent",Graduate student,Non-binary,Did Not Response,Hispanic or Latinx,Did Not Response,No,94608,"AC Transit,Drive alone,Carpool",No,4,35,0,0,35,0,0,35,5,0,10,0,0,25,20,1,20,15,7,1,157,99.64660947,99.16200905,1,0,157,99.64660947,99.16200905
71,14,"Yes, I consent",Graduate student,Non-binary,Did Not Response,Hispanic or Latinx,Did Not Response,No,94608,"AC Transit,Drive alone,Carpool",No,1,5,0,0,40,0,0,25,5,0,20,15,0,40,0,2,10,15,9,1,157,99.64660947,99.16200905,1,0,157,99.64660947,99.16200905
72,15,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94526,"BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,1,15,0,0,5,0,0,5,5,0,10,0,0,20,15,6,10,0,10,1,74,68.40710929,15.98691431,0,1,74,68.40710929,15.98691431
73,15,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94526,"BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,4,45,0,0,40,0,0,25,5,10,10,10,10,40,0,5,35,15,6,0,74,68.40710929,15.98691431,0,1,74,68.40710929,15.98691431
74,15,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94526,"BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,1,10,0,0,15,0,0,15,20,7,10,15,1,15,10,2,10,5,2,0,74,68.40710929,15.98691431,0,1,74,68.40710929,15.98691431
75,15,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94526,"BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,4,35,0,0,20,0,0,15,10,8,15,5,1,45,5,8,45,0,7,0,74,68.40710929,15.98691431,0,1,74,68.40710929,15.98691431
76,15,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94526,"BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,3,25,0,0,30,0,0,20,10,0,30,15,0,30,5,5,5,15,7,1,74,68.40710929,15.98691431,0,1,74,68.40710929,15.98691431
77,15,"Yes, I consent",Alumnus,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94526,"BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",No,1,15,0,0,10,0,0,25,15,0,35,0,0,5,5,8,20,20,6,1,74,68.40710929,15.98691431,0,1,74,68.40710929,15.98691431
78,16,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,No,94709,"AC Transit,BART,Personal bike",No,3,20,0,0,25,0,0,30,10,0,45,10,0,25,5,7,5,15,7,1,173,99.01229082,99.9999985,1,0,173,99.01229082,99.9999985
79,16,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,No,94709,"AC Transit,BART,Personal bike",No,4,20,0,0,40,0,0,15,15,4,15,5,6,30,0,7,30,20,6,0,173,99.01229082,99.9999985,1,0,173,99.01229082,99.9999985
80,16,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,No,94709,"AC Transit,BART,Personal bike",No,2,35,0,0,10,0,0,10,5,4,25,10,1,10,5,5,30,10,9,0,173,99.01229082,99.9999985,1,0,173,99.01229082,99.9999985
81,16,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,No,94709,"AC Transit,BART,Personal bike",No,3,30,0,0,40,0,0,25,15,5,20,20,4,10,10,10,15,20,6,0,173,99.01229082,99.9999985,1,0,173,99.01229082,99.9999985
82,16,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,No,94709,"AC Transit,BART,Personal bike",No,4,20,0,0,25,0,0,30,15,0,15,0,0,25,10,1,15,10,7,1,173,99.01229082,99.9999985,1,0,173,99.01229082,99.9999985
